Sigle,Domaine,Définition,Info supplémentaire
,Divers,Tranche 0 = commun à tout le site.cccc,
,Sûreté,"1 : Classe de sûreté pour les matériels mécaniques qui forment l'enveloppe sous pression du circuit primaire refroidissant le réacteur et dont la défaillance, durant le fonctionnement normal, empêche la mise à l'arrêt du réacteur par les systèmes normaux (cf. les détails de la définition dans RFS IV.1.a, et des exigences associées dans la RFS IV.2.a)",
,Sûreté,2 : Classe de sûreté pour les matériels mécaniques (cf. les détails de la définition dans RFS IV.1.a et des exigences associées dans la RFS IV.2.a) Copyright ©  EDF-CNEPE-Hervé Chevillon,
2RCP 31MP,Matériels,2RCP 31MP : Capteur de référence (RIC du N4) : Capteurs niveau cuve : le célèbre 2RCP31MP - Le capteur de référence sert à corriger l’écart de pression dû au tubing qui contient de l’eau.,
,Sûreté,3 : Classe de sûreté pour les matériels mécaniques (cf. les détails de la définition dans RFS IV.1.a et des exigences associées dans la RFS IV.2.a),
1-2-3- 4(5-6),Divers,Numéro de tranche,
3 barrieres de sûreté,Sûreté,"Les trois barrières sont des obstacles physiques à la dispersion des produits radioactifs dans l’environnement.
Lorsque le réacteur est en fonctionnement, trois barrières étanches entourent et enferment les produits radioactifs contenus dans le coeur du réacteur :
• la gaine des crayons combustibles : c’est une enveloppe étanche qui entoure les pastilles d’uranium et constitue un premier rempart contre la dispersion des produits radioactifs contenus dans le combustible,
• l’enveloppe du circuit primaire, en acier inoxydable, maintient l’étanchéité de ce circuit qui refroidit les crayons combustibles grâce à l’eau qui y circule en boucle
fermée,
• l’enceinte de confinement, formée par le bâtiment qui contient le circuit primaire :
elle est constituée d’une paroi en béton revêtue d’une peau interne en acier dans les centrales 900 MW, et de deux parois en béton avec un espace entre elles dans les
centrales 1300 et 1450 MW.",
3 fonctions de sûreté,Sûreté,"Pour assurer la sûreté de fonctionnement du réacteur, il est primordial de maintenir les trois fonctions de sûreté suivantes :
• le contrôle de la réaction en chaîne est réalisé par l’absorption plus ou moins importante des neutrons. Pour ce faire, deux solutions sont utilisées :
- les grappes de commande (ou barres de contrôle) peuvent être plus ou moins insérées dans le coeur du réacteur,
- la concentration en bore (produit neutrophage), dans l’eau du circuit primaire, peut être plus ou moins forte. Un arrêt rapide du réacteur est obtenu par l’insertion complète des grappes de commande dans la cuve.
• le refroidissement du combustible : en fonctionnement comme à l’arrêt, ce refroidissement est assuré par les générateurs de vapeur ou par le circuit de refroidissement à l’arrêt. Le principe, pour ne pas endommager les assemblages et les gaines des crayons, est d’évacuer en continu la chaleur dégagée dans les crayons. Quand le réacteur est arrêté, il s’agit surtout d’évacuer la chaleur résiduelle qui subsiste après la fin de la réaction en chaîne. En situation accidentelle, le refroidissement est assuré par les systèmes d’injection de sécurité.
• le confinement de la radioactivité permet d’éviter la dispersion des produits radioactifs dans l’environnement. Ce confinement est assuré par les trois barrières successives que sont la gaine du combustible, l’enveloppe métallique du circuit primaire et l’enceinte de confinement du bâtiment réacteur.",
3F,Divers,"3F : le ""Faire, et le Faire Faire"".",
,Electricité,"6,6 : Terme employé pour désigner le 6,6 KV.",
,Divers,"7 : ""tranche "" commune aux tranches 5 et 6 (lorsqu'elles existent)",
,Divers,"8 : ""tranche "" commune aux tranches 3 et 4.",
,Divers,"9 : ""tranche "" commune aux tranches 1 et 2.",
,Divers,54 : Nombre de goujons sur le couvercle de cuve réacteur - 27 x 2 = 54  (voir MSDG),
,RP,106 : Code d'un tir radio GV.,
,RP,157 : Nombre d'assemblages combustibles dans le 900.,
,RP,193 : Nombre d'assemblages combustibles dans le 1300.,
,RP,204 : Nombre d'assemblages combustibles dans le 1450 (N4).,
,RP,206 : Code d'un tir radio GV.,
,RP,264  : Nombre de crayons dans un assemblage combustible.,
,Palier,"900 : désigne le palier 900MW (CP0, CP1, CP2)",
3H,Chimie,3H : Tritium Copyright ©  EDF-CNEPE-Hervé Chevillon,
1E,Palier,"1E : Classe de sûreté des matériels électriques, qui sont nécessaires, soit pour l'arrêt d'urgence du réacteur, l'isolement de l'enceinte, le refroidissement de secours du coeur, l'extraction de la chaleur du réacteur et du bâtiment réacteur, soit pour prévenir les accidents et en limiter les conséquences catastrophiques (cf. les détails de la définition dans RFS IV.1.a (avec les sous catégories K1, K2 et K3), et le détail des exigences associées dans la RFS IV.2.b)",
4G,Divers,4G : 4ème génération de réacteur,
